192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/left-stick-down.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/left-stick-left.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/left-stick-right.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/right-stick-click.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/right-stick.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/right-stick-up.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/right-stick-down.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/right-stick-right.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/right-stick-left.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/view.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/xbox.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/menu.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/button-x.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/button-y.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/button-a.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/button-b.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/dpad-up.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/dpad-down.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/dpad-left.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/controller-buttons/dpad-right.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/3d-pepe.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/alfred-e-newman.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/dancing-guy.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/doom-guy.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/dragon.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/dancingzoidberg.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/emoticon.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/eyes.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/eyes2.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/fallout-guy-shoots.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/firework.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/frog.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/keyboard_smash.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/lips.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/lips2.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/lips3.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/n64-logo.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/norman.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/pole-dance.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/skeleton.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/skull.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:43] "GET /games/shooter-game/assets/enemy-webps/spiral.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:45] "GET /pages/overlay.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:45] "GET /media/images/pngs/deadlogo-green.png HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/ HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] code 404, message File not found
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/games/shooter-game/assets/scripts/screenshot-shortcut.js HTTP/1.1" 404 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/shooter-game.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /scripts/hide-overlay.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/saved-images-storage.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/screenshot-shortcut.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/shooter-game-chat.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/images-panel-viewer-host-patch.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /experiments/chat-sandbox/chat-sandbox.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/bananarama.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/bananarama.gif HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/controls.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-frame-bridge.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-bg-suggest.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-shared-commands.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-math.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-ufo.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-controls-formatters.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/xbox-controller-topdown.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/left-trigger.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-file-timestamp.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-screenshot.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/right-trigger.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level1-runtime.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/time-easter-egg.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/left-bumper.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-resource-hud.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/right-bumper.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-layout.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level-stage.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/scripts/level1-win-fallbacks.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/left-stick-click.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/left-stick.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/left-stick-up.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/left-stick-left.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/left-stick-down.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/left-stick-right.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/right-stick-click.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/right-stick.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/right-stick-up.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/right-stick-left.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/right-stick-down.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/right-stick-right.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/view.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/xbox.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps.json HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/menu.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/button-y.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/button-b.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/button-x.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/button-a.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/dpad-up.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/audio/wii-shop-music.mp3 HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/audio/spaceinvaders.mp3 HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/audio/link-yell.mp3 HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/dpad-down.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/dpad-left.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "HEAD /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 200 -
